GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p3lab2brionesestefany,controlador,CitaController.ResultadoOperacion,0,21,0,0,0,8,0,4,0,4
p3lab2brionesestefany,controlador,CitaController.EstadisticasCitas,9,30,0,0,3,8,3,3,3,3
p3lab2brionesestefany,controlador,CitaController,25,140,3,9,4,31,4,12,1,9
p3lab2brionesestefany,com.mycompany.p3lab2brionesestefany,P3Lab2BrionesEstefany.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
p3lab2brionesestefany,com.mycompany.p3lab2brionesestefany,P3Lab2BrionesEstefany,8,0,0,0,3,0,2,0,2,0
p3lab2brionesestefany,modelo,RepositorioCitas,22,253,9,17,7,62,10,26,2,21
p3lab2brionesestefany,modelo,Horario,77,0,0,0,25,0,12,0,12,0
p3lab2brionesestefany,modelo,ValidadorCitas.TipoError,0,45,0,0,0,8,0,1,0,1
p3lab2brionesestefany,modelo,ValidadorCitas,24,135,12,41,11,35,13,25,2,7
p3lab2brionesestefany,modelo,Cita,0,169,1,9,0,57,1,28,0,24
p3lab2brionesestefany,modelo,Cita.EstadoCita,0,42,0,0,0,9,0,3,0,3
